i,name,SMILES,unique_string
4048,C2H5O2H(48) + C5H92-5(429) <=> C2H5O2(47) + C5H10-2(424),CCOO+[CH2]CC=CC_CCO[O]+CC=CCC,39+197=38+195
4049,C5H92-5(429) + pentane(1) <=> C5H10-2(424) + C5H11-1(420),[CH2]CC=CC+CCCCC_CC=CCC+[CH2]CCCC,179+197=191+195
4050,CH3COCH3(69) + C5H92-5(429) <=> CH3COCH2(70) + C5H10-2(424),CC(C)=O+[CH2]CC=CC_[CH2]C(C)=O+CC=CCC,185+197=43+195
4051,C3KET21(73) + C5H92-5(429) <=> [CH2]C(=O)COO(986) + C5H10-2(424),CC(=O)COO+[CH2]CC=CC_[CH2]C(=O)COO+CC=CCC,46+197=87+195
4052,CC1OOCC(OO)O1(4088) + C5H92-5(429) <=> CC1OOCC(O[O])O1(4071) + C5H10-2(424),CC1OOCC(OO)O1+[CH2]CC=CC_CC1OOCC(O[O])O1+CC=CCC,197+243=195+240
4053,CC1OOC(COO)O1(4411) + C5H92-5(429) <=> CC1OOC(CO[O])O1(4087) + C5H10-2(424),CC1OOC(COO)O1+[CH2]CC=CC_CC1OOC(CO[O])O1+CC=CCC,197+245=195+242
4054,C2H6(32) + C5H92-5(429) <=> C2H5(33) + C5H10-2(424),CC+[CH2]CC=CC_C[CH2]+CC=CCC,31+197=32+195
4055,CC[C]CC-2(791) <=> H(14) + C5H92-5(429),CC[C]CC_[H]+[CH2]CC=CC,226=17+197
4056,[CH2]C[CH2](705) + C5H92-5(429) <=> C3H5-A(94) + C5H10-2(424),[CH2]C[CH2]+[CH2]CC=CC_[CH2]C=C+CC=CCC,120+197=50+195
4057,C3H6(12) + C5H92-5(429) <=> C3H5-A(94) + C5H10-2(424),C=CC+[CH2]CC=CC_[CH2]C=C+CC=CCC,15+197=50+195
4058,C5H92-5(429) + C5H11-1(420) <=> C5H10-1(423) + C5H10-2(424),[CH2]CC=CC+[CH2]CCCC_C=CCCC+CC=CCC,191+197=194+195
4059,C5H92-5(429) + C5H11-2(421) <=> C5H10-1(423) + C5H10-2(424),[CH2]CC=CC+C[CH]CCC_C=CCCC+CC=CCC,192+197=194+195
4060,C5H10-1(423) <=> H(14) + C5H92-5(429),C=CCCC_[H]+[CH2]CC=CC,194=17+197
4061,C[C]CCC-2(792) <=> H(14) + C5H92-5(429),C[C]CCC_[H]+[CH2]CC=CC,227=17+197
4062,HOCH2O(39) + C5H92-5(429) <=> HOCHO(40) + C5H10-2(424),[O]CO+[CH2]CC=CC_O=CO+CC=CCC,180+197=35+195
4063,C3H5O(129) + C5H92-5(429) <=> C2H3CHO(74) + C5H10-2(424),C=CC[O]+[CH2]CC=CC_C=CC=O+CC=CCC,54+197=47+195
4064,[CH2]C[CH]C(685) + C5H92-5(429) <=> C4H71-3(191) + C5H10-2(424),[CH2]C[CH]C+[CH2]CC=CC_C=C[CH]C+CC=CCC,81+197=63+195
4065,C4H8-1(189) + C5H92-5(429) <=> C4H71-3(191) + C5H10-2(424),C=CCC+[CH2]CC=CC_C=C[CH]C+CC=CCC,61+197=63+195
4066,C4H8-2(190) + C5H92-5(429) <=> C4H71-3(191) + C5H10-2(424),CC=CC+[CH2]CC=CC_C=C[CH]C+CC=CCC,62+197=63+195
4067,C4H71-4(192) + C5H92-5(429) <=> C4H6(195) + C5H10-2(424),[CH2]CC=C+[CH2]CC=CC_C=CC=C+CC=CCC,64+197=66+195
4068,C4H71-3(191) + C5H92-5(429) <=> C4H6(195) + C5H10-2(424),C=C[CH]C+[CH2]CC=CC_C=CC=C+CC=CCC,63+197=66+195
4069,[CH2]C[CH]C(685) + C5H92-5(429) <=> C4H71-4(192) + C5H10-2(424),[CH2]C[CH]C+[CH2]CC=CC_[CH2]CC=C+CC=CCC,81+197=64+195
4070,C4H8-1(189) + C5H92-5(429) <=> C4H71-4(192) + C5H10-2(424),C=CCC+[CH2]CC=CC_[CH2]CC=C+CC=CCC,61+197=64+195
4071,C2H4(11) + SC3H5OH(135) <=> OH(15) + C5H92-5(429),C=C+CC=CO_[OH]+[CH2]CC=CC,14+116=18+197
4072,C5H92-5(429) + C5H10-2(424) <=> C5H92-4(428) + C5H10-2(424),[CH2]CC=CC+CC=CCC_C[CH]C=CC+CC=CCC,195+197=195+196
4073,C5H92-5(429) <=> C5H92-4(428),[CH2]CC=CC_C[CH]C=CC,197=196
